"Row.names","iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"1","GNB","GW",2427,23755,23755,"cacoca",12303,-14.9126044,11.105238,1,"","",2004,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,2,6166,NA,NA,NA,NA,21496.853321954,0,0,0,1,28.8984714058704,28.5097861874228,28.0859312422583,0.388686825670083,43.0155984220208,54.007814184732,38.0276420730061,11.4599326267524,15.9801719180815,34.532257028067
"10","GNB","GW",2410,23668,23668,"queroane",12301,-14.516128,12.162846,1,"","",2004,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,2,19245,NA,NA,NA,NA,59139.3574957941,9,9,9,10,46.4858243070944,40.955409051044,33.8724285052712,5.53041467779139,19.6417470211593,63.5862543177127,33.0327284007972,1.87634337582317,30.5535266868098,34.5374017418624
"11","GNB","GW",2407,23679,23679,"quinhamel/dorse",12287,-15.8583873,11.8956399,1,"","",2004,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,2,6163,NA,NA,NA,NA,64519.0837509743,10,10,10,11,40.6037589910521,35.7542885124262,43.224440196448,4.84947034534265,16.1717980698528,97.6196193295547,96.02596293591,0.0407067687953588,1.59365789491299,2.33967705312327
"12","GNB","GW",2427,23755,23755,"quitafine",NA,-15.08333,11.01667,3,"","",1984,1,5,203,44,NA,NA,203,14,NA,NA,203,9,NA,NA,3,29649,0.216748768472906,0.0689655172413793,0.0443349753694581,0.285940247180561,21496.853321954,11,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","GNB","GW",2410,23668,23668,"xitole",12302,-14.81541,11.73342,1,"","",2004,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,2,19247,NA,NA,NA,NA,41198.0720181461,12,12,12,13,45.9889311084311,40.9630281430715,30.5602469017508,5.02590453031221,23.4508203837106,68.2123868264503,31.3481465677697,0.370547294044294,36.8642413162002,31.4170638271197
"2","GNB","GW",2422,23708,23708,"eb candjanbari",NA,-15.00961509,12.48716963,3,"school","mapping",2018,10,14,50,4,0,0,50,0,0,0,50,0,0,0,1,33507,0.08,0,0,0.0754716981132075,13787.2695491158,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","GNB","GW",2422,23708,23708,"eb cuboroto",NA,-15.17003186,12.50190239,3,"school","mapping",2018,10,14,50,8,0,0,50,0,0,0,50,0,0,0,1,33508,0.16,0,0,0.150943396226415,5722.73568266401,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","GNB","GW",2422,23708,23708,"eb guidadji",NA,-15.42491631,12.53584142,3,"school","mapping",2018,10,14,50,0,0,0,50,0,0,0,50,0,0,0,1,33509,0,0,0,0,23926.1427919146,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","GNB","GW",2422,23708,23708,"eb jumbembe",NA,-15.09695532,12.57289204,3,"school","mapping",2018,10,13,50,2,0,0,50,0,0,0,50,0,0,0,1,33510,0.04,0,0,0.0377358490566037,11476.6724131755,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","GNB","GW",2422,23708,23708,"ebu unidade africana",NA,-15.21719754,12.48193651,3,"school","mapping",2018,10,14,50,0,0,0,50,0,0,0,50,0,0,0,1,33511,0,0,0,0,5722.73568266401,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","GNB","GW",2423,23742,23742,"imbunga",12272,-15.08333,11.48333,3,"","",2004,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,2,6164,NA,NA,NA,NA,13105.937967394,6,6,6,7,42.845167063022,40.5728430344321,38.0317434801245,2.27232431438702,19.1230920331002,69.3841661942076,37.1469073778298,1.27647627852432,32.2372569098686,29.3393596729057
"8","GNB","GW",2427,23755,23755,"incala",12306,-15.1048,11.369866,1,"","",2004,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,2,19273,NA,NA,NA,NA,13105.937967394,7,7,7,8,42.3533380493974,41.0660931647632,38.6236350214586,1.28724413208935,19.023030025103,63.5297367343301,32.4533892892416,1.97340972730554,31.0763485784286,34.4968541609963
"9","GNB","GW",2422,23730,23730,"mantefa",12291,-15.32,12.10556,1,"","",2004,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,2,19267,NA,NA,NA,NA,44382.222703453,8,8,8,9,38.7750026236602,33.963154248805,44.1226698872943,4.81184770098923,17.1023279146072,70.316282271773,41.5797985317559,0.312499162465083,28.7364847895034,29.3712189267719
